epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,1557.27,1.15198,1.79195,0.93163,1.14107,0,0.70668,0.63352,0.66813,0.4199,0.70517,0.61825,0.65842,0.37285,1.30474,2.11712,1.08128,1.26146,0,0.000451066,0.000451066,0.000451066
50,1588.56,1.09628,1.75778,0.95558,1.13718,0,0.66831,0.63608,0.67741,0.43214,0.69656,0.61539,0.65949,0.37503,1.2851,2.1744,1.11521,1.23947,0,0.000437317,0.000437317,0.000437317
51,1619.89,1.03612,1.71555,0.93963,1.10804,0,0.69182,0.62738,0.66976,0.421,0.69276,0.62773,0.6527,0.37647,1.31428,2.14641,1.11347,1.2749,0,0.000423569,0.000423569,0.000423569
52,1651.53,1.06472,1.6918,0.9332,1.10168,0,0.67472,0.6651,0.68626,0.43338,0.6694,0.64827,0.66498,0.38421,1.2913,2.12404,1.07373,1.24794,0,0.00040982,0.00040982,0.00040982
53,1683.1,1.04568,1.67734,0.85532,1.09487,0,0.69866,0.63455,0.6831,0.43688,0.6845,0.64096,0.68171,0.39325,1.28745,2.09266,1.03493,1.23071,0,0.000396071,0.000396071,0.000396071
54,1714.72,1.03716,1.65582,0.87627,1.09866,0,0.67739,0.65543,0.69141,0.44107,0.66555,0.63638,0.67824,0.38797,1.28779,2.11578,1.0392,1.22553,0,0.000382323,0.000382323,0.000382323
55,1746.49,1.03294,1.73497,0.87455,1.09282,0,0.72314,0.64637,0.68901,0.43259,0.72051,0.6314,0.66949,0.38046,1.29285,2.22917,1.03106,1.2524,0,0.000368574,0.000368574,0.000368574
56,1778.08,0.93072,1.52659,0.83537,1.05959,0,0.70558,0.64153,0.6985,0.44261,0.71952,0.64402,0.69714,0.39972,1.3043,2.12163,1.03023,1.26784,0,0.000354826,0.000354826,0.000354826
57,1810.06,0.98626,1.6344,0.86869,1.0792,0,0.71505,0.6153,0.67076,0.42683,0.68179,0.60792,0.6465,0.3768,1.30223,2.11215,1.15089,1.27625,0,0.000341077,0.000341077,0.000341077
58,1841.55,1.02701,1.7006,0.83653,1.07315,0,0.67565,0.67671,0.68321,0.43255,0.74069,0.59912,0.66389,0.38272,1.28128,2.15679,1.07671,1.23709,0,0.000327328,0.000327328,0.000327328
59,1873.16,0.957,1.57473,0.80266,1.08631,0,0.66971,0.65789,0.67016,0.42144,0.66608,0.65134,0.65529,0.37916,1.30528,2.17942,1.0842,1.27631,0,0.00031358,0.00031358,0.00031358
60,1904.68,0.97982,1.62134,0.79037,1.05507,0,0.66886,0.68827,0.68736,0.43421,0.65761,0.66515,0.66963,0.38993,1.28674,2.18983,1.06071,1.26043,0,0.000299831,0.000299831,0.000299831
61,1936.14,1.01658,1.6606,0.81581,1.08458,0,0.7328,0.62818,0.68603,0.43844,0.72796,0.62185,0.66701,0.38565,1.28219,2.25803,1.02387,1.26423,0,0.000286083,0.000286083,0.000286083
62,1967.68,0.98618,1.64927,0.79843,1.06199,0,0.66511,0.68361,0.70767,0.45016,0.68132,0.64987,0.68881,0.40149,1.27321,2.09121,1.01414,1.25079,0,0.000272334,0.000272334,0.000272334
63,1999.51,0.93147,1.50879,0.74771,1.06592,0,0.64786,0.69982,0.68898,0.44388,0.64793,0.67698,0.67008,0.39359,1.29617,2.1638,1.02345,1.26572,0,0.000258585,0.000258585,0.000258585
64,2031.18,0.96076,1.57593,0.7718,1.07635,0,0.7246,0.61884,0.69342,0.43934,0.72738,0.59602,0.67228,0.39327,1.28326,2.13109,1.05748,1.25465,0,0.000244837,0.000244837,0.000244837
65,2062.79,0.90399,1.5603,0.72167,1.02186,0,0.71574,0.63856,0.70007,0.44293,0.70876,0.6366,0.68445,0.38462,1.29098,2.17379,1.02795,1.26301,0,0.000231088,0.000231088,0.000231088
66,2094.14,0.94899,1.53993,0.74761,1.04303,0,0.67102,0.66071,0.70292,0.44557,0.75437,0.59501,0.68663,0.39819,1.29136,2.17361,1.03192,1.26024,0,0.000217339,0.000217339,0.000217339
67,2125.56,0.94462,1.55713,0.72049,1.05847,0,0.72686,0.63383,0.6828,0.43045,0.73446,0.61463,0.67272,0.38489,1.29505,2.1652,1.03218,1.26656,0,0.000203591,0.000203591,0.000203591
68,2156.99,0.87177,1.48392,0.6999,1.03614,0,0.74587,0.61528,0.68083,0.43054,0.74142,0.61015,0.67378,0.38721,1.2993,2.14778,1.04913,1.25527,0,0.000189842,0.000189842,0.000189842
69,2188.49,0.89724,1.5173,0.69707,1.03231,0,0.67608,0.67059,0.68864,0.43463,0.74497,0.60039,0.67127,0.38882,1.28638,2.2753,1.02007,1.2578,0,0.000176094,0.000176094,0.000176094
70,2219.99,0.92435,1.56613,0.70166,1.03291,0,0.69697,0.67429,0.6887,0.4413,0.68219,0.65783,0.67084,0.39569,1.28547,2.15841,1.04429,1.25549,0,0.000162345,0.000162345,0.000162345
71,2252.51,0.8665,1.45524,0.61884,1.0309,0,0.74134,0.61182,0.6881,0.4381,0.74512,0.61411,0.67819,0.38725,1.28806,2.20426,1.04886,1.2661,0,0.000148596,0.000148596,0.000148596
72,2284.13,0.8586,1.41959,0.57885,1.02503,0,0.7048,0.66689,0.69642,0.44514,0.69917,0.6514,0.67948,0.39038,1.28949,2.19148,1.05138,1.26224,0,0.000134848,0.000134848,0.000134848
73,2315.78,0.87978,1.47017,0.59175,1.00335,0,0.75864,0.63476,0.69977,0.44244,0.7509,0.62352,0.67542,0.39489,1.29817,2.24355,1.03423,1.26206,0,0.000121099,0.000121099,0.000121099
74,2347.33,0.82895,1.39254,0.57447,0.9958,0,0.66941,0.66968,0.69324,0.44155,0.72845,0.60695,0.68002,0.39007,1.29666,2.26102,1.05869,1.26405,0,0.00010735,0.00010735,0.00010735
75,2378.82,0.82527,1.40138,0.58092,1.00618,0,0.70244,0.66115,0.69678,0.44448,0.69222,0.647,0.67683,0.39003,1.2896,2.20224,1.04199,1.26508,0,9.36017e-05,9.36017e-05,9.36017e-05
76,2410.36,0.78432,1.39649,0.54764,0.99586,0,0.71292,0.66387,0.69123,0.44362,0.70114,0.64111,0.66951,0.38873,1.27604,2.22815,1.02502,1.26372,0,7.98531e-05,7.98531e-05,7.98531e-05
77,2441.97,0.83013,1.44086,0.55106,0.99092,0,0.69371,0.65586,0.68861,0.44816,0.70753,0.64057,0.67491,0.3957,1.269,2.24937,1.03607,1.25847,0,6.61045e-05,6.61045e-05,6.61045e-05
78,2473.47,0.80923,1.37377,0.50941,0.97462,0,0.68942,0.65948,0.69043,0.45149,0.74231,0.60672,0.673,0.39304,1.26669,2.22239,1.05774,1.25934,0,5.23559e-05,5.23559e-05,5.23559e-05
79,2504.94,0.79827,1.38758,0.5358,0.98449,0,0.67747,0.66739,0.69307,0.44845,0.7435,0.62353,0.68124,0.39553,1.27049,2.25648,1.04704,1.26124,0,3.86073e-05,3.86073e-05,3.86073e-05
80,2536.58,0.8027,1.40918,0.53421,0.99544,0,0.66524,0.68568,0.69629,0.45119,0.74797,0.61798,0.68378,0.39678,1.27537,2.24264,1.04564,1.266,0,2.48586e-05,2.48586e-05,2.48586e-05
